timestamp,disk_util_pct,disk_await_ms,disk_wps,iowait_pct,dirty_pages,pending_fsyncs,mem_avail_mb,cpu_mhz
18:54:35,75.30,1149.00,2353.00,11.3,915,2,8830,2776
18:54:38,84.90,956.00,1753.00,4.4,1483,0,8832,2894
18:54:41,68.10,2819.00,5100.00,4.5,2192,1,8826,2837
18:54:45,68.70,2802.00,5123.00,4.5,2441,0,8814,2687
18:54:48,67.30,2832.00,5195.00,4.5,2478,1,8823,2863
18:54:51,64.50,2945.00,5280.00,3.8,2321,1,8829,2836
18:54:55,72.90,2683.00,4630.00,3.9,2408,0,8820,2894
18:54:58,91.90,355.00,857.00,12.3,2072,2,8818,1870
18:55:01,92.20,438.00,921.00,8.8,1674,2,8819,2365
18:55:05,90.00,494.00,931.00,10.6,1594,1,8816,2669
18:55:08,90.00,449.00,921.00,6.8,1600,0,8812,2321
18:55:11,94.10,372.00,812.00,8.8,1530,2,8815,2194
18:55:14,92.10,465.00,970.00,12.9,1347,1,8822,2135
18:55:18,94.70,401.00,743.00,16.7,1316,2,8826,2420
18:55:21,93.40,291.00,672.00,9.2,1102,1,8825,2541
18:55:24,95.30,283.00,643.00,11.0,1054,2,8826,2130
18:55:28,93.50,307.00,692.00,11.0,980,2,8820,2250
18:55:31,91.10,280.00,635.00,12.3,916,1,8825,2455
