timestamp,disk_util_pct,disk_await_ms,disk_wps,iowait_pct,dirty_pages,pending_fsyncs,mem_avail_mb,cpu_mhz
18:53:30,58.30,2273.00,4563.00,3.8,2208,1,8838,2894
18:53:33,66.60,2783.00,5087.00,4.5,2317,2,8880,2772
18:53:36,68.70,2763.00,5208.00,4.5,2238,1,8880,2893
18:53:40,67.30,2852.00,5303.00,3.8,2286,0,8804,2843
18:53:43,81.50,1039.00,2097.00,5.0,2291,1,8806,2782
18:53:46,83.40,1072.00,2020.00,10.0,1954,2,8812,1947
18:53:49,82.30,1153.00,2141.00,6.2,1832,0,8809,2031
18:53:53,84.00,1066.00,1896.00,4.5,1891,0,8812,2659
18:53:56,68.70,2882.00,5207.00,5.2,2072,1,8807,2737
18:53:59,70.40,2900.00,5326.00,3.9,2289,0,8804,2894
18:54:03,66.50,2859.00,5187.00,3.8,2414,0,8811,2739
18:54:06,68.60,2848.00,5208.00,3.9,2187,0,8807,2794
18:54:09,80.50,1114.00,2041.00,10.2,2092,1,8815,2224
18:54:13,80.30,1109.00,2044.00,6.3,1909,1,8819,2512
18:54:16,79.60,1193.07,2143.56,6.2,1959,2,8834,2371
18:54:19,82.10,1005.00,1841.00,11.9,1836,0,8836,2530
18:54:23,82.50,1158.00,2070.00,5.7,2003,1,8830,2757
18:54:26,81.70,1212.00,2181.00,5.6,2019,1,8827,2683
