timestamp,disk_util_pct,disk_await_ms,disk_wps,iowait_pct,dirty_pages,pending_fsyncs,mem_avail_mb,cpu_mhz
18:55:40,65.50,2376.00,4439.00,3.9,1467,1,8828,2807
18:55:43,65.20,2894.00,5091.00,4.5,2325,1,8856,2894
18:55:47,69.10,2905.00,5214.00,3.8,2452,1,8865,2721
18:55:50,68.20,2862.00,5216.00,4.5,2587,1,8816,2894
18:55:53,67.90,2904.00,5222.00,7.0,2311,1,8813,2738
18:55:57,70.60,2540.00,4555.00,5.7,2459,0,8816,2788
18:56:00,80.30,1167.00,1957.00,7.5,2246,1,8811,2607
18:56:03,80.40,1182.00,2068.00,5.1,2103,2,8815,2693
18:56:06,79.60,1186.00,2038.00,7.0,2069,0,8819,1995
18:56:10,77.70,1160.00,2001.00,5.6,2184,1,8824,2765
18:56:13,80.70,1242.00,2068.00,6.3,2265,2,8808,1744
18:56:16,81.80,1191.00,2014.00,8.2,2087,1,8807,2450
18:56:20,79.30,1246.00,2112.00,5.7,2165,1,8812,2693
18:56:23,81.60,1175.00,2037.00,5.7,2282,0,8826,2044
18:56:26,82.20,1027.00,1946.00,12.5,2098,1,8829,2831
18:56:30,82.60,994.00,1754.00,5.7,2096,1,8828,2778
18:56:33,70.80,2898.00,5166.00,4.5,2551,1,8820,2794
18:56:36,67.80,2906.00,5212.00,4.5,2376,1,8830,2785
