timestamp,disk_util_pct,disk_await_ms,disk_wps,iowait_pct,dirty_pages,pending_fsyncs,mem_avail_mb,cpu_mhz
18:56:45,62.10,2683.00,5262.00,3.8,1366,1,8832,2843
18:56:48,67.40,2843.00,5028.00,4.5,2249,1,8810,2856
18:56:52,83.80,1147.00,2002.00,5.6,2365,1,8802,2782
18:56:55,68.40,2838.00,5069.00,3.8,2434,1,8798,2818
18:56:58,71.20,2927.00,5233.00,3.8,2509,1,8809,2724
18:57:02,68.80,2959.00,5328.00,4.5,2584,0,8828,2894
18:57:05,66.20,2927.00,5283.00,3.9,2571,2,8824,2534
18:57:08,69.00,2915.00,5251.00,4.5,2403,1,8842,2894
18:57:12,80.70,1067.00,1927.00,6.2,2204,1,8855,2847
18:57:15,85.20,1136.00,1905.00,5.0,2112,0,8849,2696
18:57:18,81.30,1168.00,1994.00,8.3,1896,0,8830,2894
18:57:22,69.20,2893.00,5079.00,4.5,2184,1,8843,2596
18:57:25,65.90,2855.00,5059.00,3.8,2550,1,8844,2693
18:57:28,68.70,2906.00,5174.00,3.9,2375,1,8838,2894
18:57:31,70.50,3032.00,5394.00,3.8,2482,1,8853,2720
18:57:35,66.70,2872.00,5086.00,4.5,2522,1,8841,2828
18:57:38,81.70,1101.00,1935.00,7.5,2257,0,8866,2195
18:57:41,82.30,1115.00,1871.00,8.1,2072,1,8875,2622
