timestamp,disk_util_pct,disk_await_ms,disk_wps,iowait_pct,dirty_pages,pending_fsyncs,mem_avail_mb,cpu_mhz
18:57:50,63.30,2444.00,4235.00,5.8,1113,2,8787,2693
18:57:54,68.10,2883.00,5152.00,4.5,2100,1,8808,2894
18:57:57,70.70,2895.00,5208.00,3.8,2409,1,8806,2693
18:58:00,66.60,2893.00,5198.00,5.7,2326,1,8808,2883
18:58:04,67.20,2902.00,5154.00,3.8,2479,1,8811,2725
18:58:07,67.80,2903.00,5294.00,3.8,2481,1,8800,2755
18:58:10,82.80,1117.00,1987.00,6.3,2255,2,8802,2704
18:58:13,80.60,1142.00,1933.00,8.8,2023,1,8814,2641
18:58:17,80.40,1152.00,1941.00,6.3,2100,1,8818,2351
18:58:20,80.20,1232.00,2084.00,6.3,2206,2,8834,2085
18:58:23,80.50,1234.00,2092.00,9.5,2074,1,8871,2836
18:58:27,78.70,1182.00,2065.00,5.1,2137,1,8873,2720
18:58:30,85.60,905.00,1568.00,6.9,2196,1,8857,2381
18:58:33,82.90,1185.00,2014.00,10.1,2094,1,8813,2693
18:58:37,79.00,1108.00,1894.00,6.2,2141,1,8808,2803
18:58:40,83.10,1190.00,2042.00,5.7,2174,1,8798,2702
18:58:43,68.90,2851.00,5009.00,4.5,2314,1,8811,2894
18:58:46,65.80,2873.00,5012.00,4.5,2517,1,8807,2894
