timestamp,disk_util_pct,disk_await_ms,disk_wps,iowait_pct,dirty_pages,pending_fsyncs,mem_avail_mb,cpu_mhz
18:50:20,0.00,0.00,0.00,0.0,1540,0,8118,2486
18:50:23,0.10,0.00,1.00,0.0,2146,0,8151,2835
18:50:26,0.20,10.00,12.00,0.0,1920,0,8165,2894
18:50:30,0.10,0.00,1.00,0.0,2117,0,8154,2318
18:50:33,0.10,16.00,47.00,0.0,1911,0,8155,2395
18:50:36,0.00,0.00,0.00,0.0,1951,0,8145,2789
18:50:40,0.00,1.00,2.00,0.0,2135,0,8132,2752
18:50:43,0.00,0.00,0.00,0.0,1856,0,8132,2839
18:50:46,0.10,10.00,3.00,0.0,2069,0,8120,2825
18:50:50,0.10,3.00,32.00,0.0,2193,0,7902,2894
18:50:53,2.10,191.00,251.00,0.6,1949,0,7861,2894
18:50:56,0.00,0.00,0.00,0.0,2052,0,7992,2782
18:51:00,0.00,0.00,0.00,0.0,2146,0,8011,2852
18:51:03,0.10,12.00,3.00,0.0,1813,0,8019,2787
18:51:06,0.00,16.00,64.00,0.0,2049,0,8027,2894
18:51:10,0.00,0.00,0.00,0.0,2176,0,8017,2810
18:51:13,0.10,19.00,2.00,0.0,1825,0,8017,2682
18:51:16,0.00,0.00,0.00,0.0,2043,0,7853,2892
