timestamp,disk_util_pct,disk_await_ms,disk_wps,iowait_pct,dirty_pages,pending_fsyncs,mem_avail_mb,cpu_mhz
18:49:15,0.00,0.00,10.00,0.0,1437,0,8173,2771
18:49:18,0.00,3.00,27.00,0.0,1928,0,8188,2686
18:49:21,0.10,21.00,2.00,0.0,1954,0,8184,2623
18:49:25,0.80,57.00,53.00,0.0,2098,0,8181,2446
18:49:28,0.00,0.00,0.00,0.0,1896,0,8185,2828
18:49:31,1.40,99.00,177.00,0.0,1998,0,7953,2776
18:49:35,2.20,219.00,262.00,0.0,2141,0,7985,2893
18:49:38,0.00,1.00,5.00,0.0,1497,0,8116,2757
18:49:41,0.00,0.00,0.00,0.0,1992,0,8128,2448
18:49:45,0.00,0.00,0.00,0.0,2124,0,8148,2580
18:49:48,0.10,13.00,23.00,0.0,1631,0,8152,2435
18:49:51,0.00,0.00,0.00,0.0,2031,0,8142,2398
18:49:55,0.80,79.00,61.00,0.0,2118,0,8140,2581
18:49:58,0.10,16.00,14.00,0.0,1528,0,8123,2563
18:50:01,0.00,0.00,0.00,0.0,1970,0,8131,2894
18:50:05,0.20,10.00,4.00,0.0,2114,0,8119,2607
18:50:08,0.00,0.00,0.00,0.0,1619,0,8122,2596
18:50:11,0.00,0.00,0.00,0.0,2058,0,8118,2893
