timestamp,disk_util_pct,disk_await_ms,disk_wps,iowait_pct,dirty_pages,pending_fsyncs,mem_avail_mb,cpu_mhz
18:48:09,0.20,0.00,36.00,0.0,1349,0,8299,2622
18:48:13,0.00,0.00,0.00,0.0,2422,0,8299,2807
18:48:16,0.30,24.00,30.00,0.0,1620,0,8275,2870
18:48:19,0.20,28.00,25.00,0.0,2109,0,8105,2895
18:48:23,0.10,15.00,9.00,0.0,2095,0,8099,2682
18:48:26,0.00,0.00,0.00,0.0,2016,0,8100,2763
18:48:30,0.00,0.00,1.00,0.0,2113,0,8250,2788
18:48:33,0.00,0.00,0.00,0.0,2147,0,8233,2693
18:48:36,0.00,0.00,0.00,0.0,1978,0,8240,2469
18:48:40,0.00,0.00,0.00,0.0,2005,0,8230,2894
18:48:43,0.00,0.00,0.00,0.0,2134,0,8220,2789
18:48:46,0.00,0.00,0.00,0.0,2007,0,8226,2894
18:48:50,1.10,61.00,96.00,0.0,2126,0,8075,2651
18:48:53,1.20,98.00,115.00,0.0,2123,0,8011,2754
18:48:56,0.00,0.00,0.00,0.0,2008,0,8002,2454
18:49:00,0.00,0.00,0.00,0.0,2065,0,8170,2894
18:49:03,0.00,0.00,0.00,0.0,2201,0,8168,2688
18:49:06,0.00,0.00,0.00,0.0,1903,0,8180,2690
