timestamp,disk_util_pct,disk_await_ms,disk_wps,iowait_pct,dirty_pages,pending_fsyncs,mem_avail_mb,cpu_mhz
18:47:04,0.00,21.00,3.00,0.0,1275,0,8380,2433
18:47:08,0.00,0.00,8.00,0.0,2249,0,8381,2836
18:47:11,0.00,0.00,0.00,0.0,1470,0,8379,2889
18:47:14,0.00,0.00,0.00,0.0,1949,0,8374,2696
18:47:18,0.00,0.00,1.00,0.0,2067,0,8366,2650
18:47:21,0.20,11.00,8.00,0.0,1414,0,8362,2763
18:47:24,0.00,0.00,0.00,0.0,1911,0,8349,2826
18:47:28,0.00,0.00,0.00,0.0,1913,0,8336,2693
18:47:31,0.10,4.00,43.00,0.0,1672,0,8372,2832
18:47:34,0.00,0.00,0.00,0.0,1993,0,8375,2631
18:47:38,0.00,0.00,0.00,0.0,2149,0,8375,2620
18:47:41,1.10,95.00,88.00,0.6,1780,0,8242,2894
18:47:44,0.20,53.00,7.00,0.0,2017,0,8107,2894
18:47:48,0.30,15.00,13.00,0.0,2140,0,8255,2828
18:47:51,0.00,0.00,0.00,0.0,1780,0,8260,2669
18:47:54,0.00,0.00,0.00,0.0,2005,0,8251,2894
18:47:58,0.00,0.00,0.00,0.0,2179,0,8282,2654
18:48:01,0.10,1.00,16.00,0.0,1620,0,8291,2693
